id,module_code,module,submodule,feature,origin,source,status,backend,frontend,tests,docs,depends_on,notes
STRAT-011,STRAT,Marketing Strategy & Research,Research and assessment,Keyword opportunity analysis,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Keyword opportunity analysis: unranked/page-2+ keywords ordered by volume and difficulty.
STRAT-012,STRAT,Marketing Strategy & Research,Research and assessment,Geographic market analysis,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,"Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Geographic market analysis: per-market keyword counts, average position and open opportunities from the Phase-2 geo pipeline."
STRAT-013,STRAT,Marketing Strategy & Research,Research and assessment,Vertical-market analysis,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,"Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Vertical-market analysis: deals by company industry - totals, win rate, won MRR, sorted by revenue."
STRAT-014,STRAT,Marketing Strategy & Research,Research and assessment,Service-line opportunity analysis,Feature Inventory,Inventory §1 p.3,Partially Implemented,Done,Done,Partial,Pending,,"Assessment / audit / research workspace: each is recorded as a typed strategy_item with findings, recommendation, priority, status and due date, and reported on. Workspace built and tested (record, assign, prioritise, status-track, report); the ANALYSIS itself is human consulting work. Per the Stage 13 scope line, marking this Tested because a field exists would be dishonest."
STRAT-015,STRAT,Marketing Strategy & Research,Research and assessment,Competitive positioning research,Feature Inventory,Inventory §1 p.3,Partially Implemented,Done,Done,Partial,Pending,,Qualitative positioning stays human; the computed competitive landscape (STRAT-003/004) supplies the quantitative half.
STRAT-016,STRAT,Marketing Strategy & Research,Research and assessment,Messaging analysis,Feature Inventory,Inventory §1 p.3,Partially Implemented,Done,Done,Partial,Pending,,Messaging analysis is qualitative/AI-assisted (AI drafting blocked on outbound 443); workspace records it.
STRAT-017,STRAT,Marketing Strategy & Research,Research and assessment,Website conversion audit,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Website conversion audit: visitors -> identified -> submissions -> bookings -> won with guarded rates.
STRAT-018,STRAT,Marketing Strategy & Research,Research and assessment,SEO audit,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,"Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). SEO audit roll-up of stored TechnicalSeoAuditor runs: count, average score, total issues, worst page."
STRAT-019,STRAT,Marketing Strategy & Research,Research and assessment,PPC audit,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). PPC audit: per-campaign spend/clicks/conversions/revenue with no-conversion and negative-ROAS flags; provider provenance carried.
STRAT-020,STRAT,Marketing Strategy & Research,Research and assessment,Funnel audit,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Funnel audit: stages without attached assets per funnel.
STRAT-021,STRAT,Marketing Strategy & Research,Research and assessment,CRM and automation audit,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,"Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). CRM & automation audit: contacts missing owner/company/email, open deals with no movement in 30 days."
STRAT-022,STRAT,Marketing Strategy & Research,Research and assessment,Lead-generation gap analysis,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Lead-gen gap analysis: sources with 3+ visitors and zero identifications; landing pages with views but no capture form.
STRAT-023,STRAT,Marketing Strategy & Research,Planning and targets,Revenue opportunity modeling,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Revenue opportunity model: open pipeline MRR x the org's own win rate; explicitly refuses below 5 closed deals.
STRAT-024,STRAT,Marketing Strategy & Research,Planning and targets,Marketing roadmap creation,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,Done,Pending,,"Marketing roadmap + quarterly campaign strategy + prioritisation are real workspace features: strategy_plans with periods and status, and strategy_items of type roadmap/initiative carrying priority, status, owner-facing due dates and a cross-reference to the module that computes the underlying data. Tested."
STRAT-025,STRAT,Marketing Strategy & Research,Planning and targets,Quarterly campaign strategy,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,Done,Pending,,"Marketing roadmap + quarterly campaign strategy + prioritisation are real workspace features: strategy_plans with periods and status, and strategy_items of type roadmap/initiative carrying priority, status, owner-facing due dates and a cross-reference to the module that computes the underlying data. Tested."
STRAT-026,STRAT,Marketing Strategy & Research,Planning and targets,Campaign prioritization,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,Done,Pending,,"Marketing roadmap + quarterly campaign strategy + prioritisation are real workspace features: strategy_plans with periods and status, and strategy_items of type roadmap/initiative carrying priority, status, owner-facing due dates and a cross-reference to the module that computes the underlying data. Tested."
STRAT-027,STRAT,Marketing Strategy & Research,Planning and targets,Marketing KPI definition,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,Done,Pending,,"KPI definition and targets (leads, SQLs, meetings, CPL, MRR, revenue, ROI) with attainment measured against REAL Stage 11 actuals; lower-is-better metrics such as CPL are evaluated in the correct direction and divisors are guarded. Tested."
STRAT-028,STRAT,Marketing Strategy & Research,Planning and targets,Revenue and MRR goals,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,Done,Pending,,"KPI definition and targets (leads, SQLs, meetings, CPL, MRR, revenue, ROI) with attainment measured against REAL Stage 11 actuals; lower-is-better metrics such as CPL are evaluated in the correct direction and divisors are guarded. Tested."
STRAT-029,STRAT,Marketing Strategy & Research,Planning and targets,Lead-volume targets,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,Done,Pending,,"KPI definition and targets (leads, SQLs, meetings, CPL, MRR, revenue, ROI) with attainment measured against REAL Stage 11 actuals; lower-is-better metrics such as CPL are evaluated in the correct direction and divisors are guarded. Tested."
STRAT-030,STRAT,Marketing Strategy & Research,Planning and targets,Cost-per-lead targets,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,Done,Pending,,"KPI definition and targets (leads, SQLs, meetings, CPL, MRR, revenue, ROI) with attainment measured against REAL Stage 11 actuals; lower-is-better metrics such as CPL are evaluated in the correct direction and divisors are guarded. Tested."
STRAT-031,STRAT,Marketing Strategy & Research,Planning and targets,SQL targets,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,Done,Pending,,"KPI definition and targets (leads, SQLs, meetings, CPL, MRR, revenue, ROI) with attainment measured against REAL Stage 11 actuals; lower-is-better metrics such as CPL are evaluated in the correct direction and divisors are guarded. Tested."
STRAT-032,STRAT,Marketing Strategy & Research,Planning and targets,ROI targets,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,Done,Pending,,"KPI definition and targets (leads, SQLs, meetings, CPL, MRR, revenue, ROI) with attainment measured against REAL Stage 11 actuals; lower-is-better metrics such as CPL are evaluated in the correct direction and divisors are guarded. Tested."
BRAND-001,BRAND,MSP Branding,Brand strategy,Brand discovery,Feature Inventory,Inventory §2 p.3,Tested,Done,Done,Done,Pending,,"Brand discovery: computed checklist of which discovery questions the profile answers (positioning/USP/differentiators/narrative/tone/ICP/palette) on /strategy/brand; the consulting conversation stays human, this is the evidence it runs on. BrandPositioningTest. Phase 22."
BRAND-002,BRAND,MSP Branding,Brand strategy,Competitor brand analysis,Feature Inventory,Inventory §2 p.3,Tested,Done,Done,Done,Pending,,"Competitor brand analysis: rivals' own public messaging from the Phase 14 content snapshots (their page titles ARE their claims), per competitor; no snapshot = ""check content first"", never invented. Phase 22."
BRAND-003,BRAND,MSP Branding,Brand strategy,Market positioning,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"The brand profile stores and versions the positioning statement, USP, value proposition, differentiators, narrative, story, tone of voice, messaging hierarchy, elevator pitch and tagline for the organization (one profile per tenant, editable through the brand workspace). Storing and serving these decisions is the software feature; ARRIVING at them is human strategy work."
BRAND-004,BRAND,MSP Branding,Brand strategy,Differentiator identification,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,Differentiator identification: each stated differentiator checked against OUR published pages AND competitors' captured titles - one also claimed by a rival is flagged a table stake. Deterministic matching. Phase 22.
BRAND-005,BRAND,MSP Branding,Brand strategy,Unique Selling Proposition development,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"The brand profile stores and versions the positioning statement, USP, value proposition, differentiators, narrative, story, tone of voice, messaging hierarchy, elevator pitch and tagline for the organization (one profile per tenant, editable through the brand workspace). Storing and serving these decisions is the software feature; ARRIVING at them is human strategy work."
BRAND-006,BRAND,MSP Branding,Brand strategy,Value proposition development,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"The brand profile stores and versions the positioning statement, USP, value proposition, differentiators, narrative, story, tone of voice, messaging hierarchy, elevator pitch and tagline for the organization (one profile per tenant, editable through the brand workspace). Storing and serving these decisions is the software feature; ARRIVING at them is human strategy work."
BRAND-007,BRAND,MSP Branding,Brand strategy,Brand positioning statement,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"The brand profile stores and versions the positioning statement, USP, value proposition, differentiators, narrative, story, tone of voice, messaging hierarchy, elevator pitch and tagline for the organization (one profile per tenant, editable through the brand workspace). Storing and serving these decisions is the software feature; ARRIVING at them is human strategy work."
BRAND-008,BRAND,MSP Branding,Brand strategy,ICP alignment,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"ICP alignment: stated ICP (Phase 19 scoring rules) vs the observed win profile per attribute, guarded when there are no wins. Phase 22."
BRAND-009,BRAND,MSP Branding,Brand strategy,Premium-positioning strategy,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Premium positioning: evidenced by numbers (avg won value, median MRR over wins) - premium is a number, not an adjective; zero wins shown as such. Phase 22."
BRAND-010,BRAND,MSP Branding,Brand strategy,Vertical-specific positioning,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Vertical positioning: active verticals vs verticals with a published page, on the brand evidence panel. Phase 22."
BRAND-011,BRAND,MSP Branding,Brand strategy,Service-specific positioning,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,Service positioning: active services vs services with a published page. Phase 22.
BRAND-012,BRAND,MSP Branding,Brand strategy,Geographic positioning,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,Geographic positioning: branches vs branches with a published location page. Phase 22.
BRAND-013,BRAND,MSP Branding,Brand strategy,Brand narrative,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"The brand profile stores and versions the positioning statement, USP, value proposition, differentiators, narrative, story, tone of voice, messaging hierarchy, elevator pitch and tagline for the organization (one profile per tenant, editable through the brand workspace). Storing and serving these decisions is the software feature; ARRIVING at them is human strategy work."
BRAND-014,BRAND,MSP Branding,Brand strategy,Brand story,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"The brand profile stores and versions the positioning statement, USP, value proposition, differentiators, narrative, story, tone of voice, messaging hierarchy, elevator pitch and tagline for the organization (one profile per tenant, editable through the brand workspace). Storing and serving these decisions is the software feature; ARRIVING at them is human strategy work."
BRAND-015,BRAND,MSP Branding,Brand strategy,Tone of voice,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"The brand profile stores and versions the positioning statement, USP, value proposition, differentiators, narrative, story, tone of voice, messaging hierarchy, elevator pitch and tagline for the organization (one profile per tenant, editable through the brand workspace). Storing and serving these decisions is the software feature; ARRIVING at them is human strategy work."
BRAND-016,BRAND,MSP Branding,Brand strategy,Messaging hierarchy,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"The brand profile stores and versions the positioning statement, USP, value proposition, differentiators, narrative, story, tone of voice, messaging hierarchy, elevator pitch and tagline for the organization (one profile per tenant, editable through the brand workspace). Storing and serving these decisions is the software feature; ARRIVING at them is human strategy work."
BRAND-017,BRAND,MSP Branding,Brand strategy,Elevator pitch,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"The brand profile stores and versions the positioning statement, USP, value proposition, differentiators, narrative, story, tone of voice, messaging hierarchy, elevator pitch and tagline for the organization (one profile per tenant, editable through the brand workspace). Storing and serving these decisions is the software feature; ARRIVING at them is human strategy work."
BRAND-018,BRAND,MSP Branding,Brand strategy,Tagline development,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"The brand profile stores and versions the positioning statement, USP, value proposition, differentiators, narrative, story, tone of voice, messaging hierarchy, elevator pitch and tagline for the organization (one profile per tenant, editable through the brand workspace). Storing and serving these decisions is the software feature; ARRIVING at them is human strategy work."
BRAND-019,BRAND,MSP Branding,Visual identity,Logo creation or refinement,Feature Inventory,Inventory §2 p.4,Planned,Pending,Pending,Pending,Pending,,"Logo creation/refinement, graphic style, iconography and website / social / presentation visual identity are CREATIVE PRODUCTION. The platform stores the resulting assets and guidelines (BRAND-028…037) but does not produce them; a designer or design tooling is required. Deferred."
BRAND-020,BRAND,MSP Branding,Visual identity,Brand color palette,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,Palette captured + rendered into the style-guide deliverable (native PDF at strategy/brand/style-guide.pdf) and driving the public site accent; choosing colours remains design work. Phase 22.
BRAND-021,BRAND,MSP Branding,Visual identity,Typography,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,Typography captured + rendered in the style guide PDF; choosing faces remains design work. Phase 22.
BRAND-022,BRAND,MSP Branding,Visual identity,Imagery direction,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,Imagery direction captured + rendered in the style guide PDF; producing imagery remains design work. Phase 22.
BRAND-023,BRAND,MSP Branding,Visual identity,Graphic style,Feature Inventory,Inventory §2 p.4,Planned,Pending,Pending,Pending,Pending,,"Logo creation/refinement, graphic style, iconography and website / social / presentation visual identity are CREATIVE PRODUCTION. The platform stores the resulting assets and guidelines (BRAND-028…037) but does not produce them; a designer or design tooling is required. Deferred."
BRAND-024,BRAND,MSP Branding,Visual identity,Iconography,Feature Inventory,Inventory §2 p.4,Planned,Pending,Pending,Pending,Pending,,"Logo creation/refinement, graphic style, iconography and website / social / presentation visual identity are CREATIVE PRODUCTION. The platform stores the resulting assets and guidelines (BRAND-028…037) but does not produce them; a designer or design tooling is required. Deferred."
BRAND-025,BRAND,MSP Branding,Visual identity,Website visual identity,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,Website visual identity: the public site wears the brand - palette primary drives the site accent (existing) and the masthead renders the brand logo when logo_url is set. Phase 22.
BRAND-026,BRAND,MSP Branding,Visual identity,Social-media branding,Feature Inventory,Inventory §2 p.4,Planned,Pending,Pending,Pending,Pending,,"Logo creation/refinement, graphic style, iconography and website / social / presentation visual identity are CREATIVE PRODUCTION. The platform stores the resulting assets and guidelines (BRAND-028…037) but does not produce them; a designer or design tooling is required. Deferred."
BRAND-027,BRAND,MSP Branding,Visual identity,Presentation branding,Feature Inventory,Inventory §2 p.4,Planned,Pending,Pending,Pending,Pending,,"Logo creation/refinement, graphic style, iconography and website / social / presentation visual identity are CREATIVE PRODUCTION. The platform stores the resulting assets and guidelines (BRAND-028…037) but does not produce them; a designer or design tooling is required. Deferred."
BRAND-028,BRAND,MSP Branding,Visual identity,Brand guidelines,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Brand asset library covering guidelines, pitch decks, one-pagers, service sheets, case-study and proposal templates, sales collateral, social-proof, testimonial and executive presentation assets - typed records with links/files and notes (complements the Stage 10 sales-enablement library)."
BRAND-029,BRAND,MSP Branding,Sales branding,Pitch decks,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Brand asset library covering guidelines, pitch decks, one-pagers, service sheets, case-study and proposal templates, sales collateral, social-proof, testimonial and executive presentation assets - typed records with links/files and notes (complements the Stage 10 sales-enablement library)."
BRAND-030,BRAND,MSP Branding,Sales branding,One-pagers,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Brand asset library covering guidelines, pitch decks, one-pagers, service sheets, case-study and proposal templates, sales collateral, social-proof, testimonial and executive presentation assets - typed records with links/files and notes (complements the Stage 10 sales-enablement library)."
BRAND-031,BRAND,MSP Branding,Sales branding,Service sheets,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Brand asset library covering guidelines, pitch decks, one-pagers, service sheets, case-study and proposal templates, sales collateral, social-proof, testimonial and executive presentation assets - typed records with links/files and notes (complements the Stage 10 sales-enablement library)."
BRAND-032,BRAND,MSP Branding,Sales branding,Case-study templates,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Brand asset library covering guidelines, pitch decks, one-pagers, service sheets, case-study and proposal templates, sales collateral, social-proof, testimonial and executive presentation assets - typed records with links/files and notes (complements the Stage 10 sales-enablement library)."
BRAND-033,BRAND,MSP Branding,Sales branding,Proposal templates,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Brand asset library covering guidelines, pitch decks, one-pagers, service sheets, case-study and proposal templates, sales collateral, social-proof, testimonial and executive presentation assets - typed records with links/files and notes (complements the Stage 10 sales-enablement library)."
BRAND-034,BRAND,MSP Branding,Sales branding,Sales collateral,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Brand asset library covering guidelines, pitch decks, one-pagers, service sheets, case-study and proposal templates, sales collateral, social-proof, testimonial and executive presentation assets - typed records with links/files and notes (complements the Stage 10 sales-enablement library)."
BRAND-035,BRAND,MSP Branding,Sales branding,Social-proof assets,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Brand asset library covering guidelines, pitch decks, one-pagers, service sheets, case-study and proposal templates, sales collateral, social-proof, testimonial and executive presentation assets - typed records with links/files and notes (complements the Stage 10 sales-enablement library)."
BRAND-036,BRAND,MSP Branding,Sales branding,Testimonial assets,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Brand asset library covering guidelines, pitch decks, one-pagers, service sheets, case-study and proposal templates, sales collateral, social-proof, testimonial and executive presentation assets - typed records with links/files and notes (complements the Stage 10 sales-enablement library)."
BRAND-037,BRAND,MSP Branding,Sales branding,Executive presentations,Feature Inventory,Inventory §2 p.4,Tested,Done,Done,Done,Pending,,"Brand asset library covering guidelines, pitch decks, one-pagers, service sheets, case-study and proposal templates, sales collateral, social-proof, testimonial and executive presentation assets - typed records with links/files and notes (complements the Stage 10 sales-enablement library)."
WEB-001,WEB,MSP Website Platform,Website design,Custom MSP website,Feature Inventory,Inventory §3 p.4,Tested,Done,Done,Done,Pending,,"The site itself: pages built from ordered section blocks, header/footer navigation (nestable), and conversion paths wired from CTA/offer sections to a form or booking page. Publishing is refused without a title and at least one visible section, so an empty URL cannot go live. Tested."
WEB-002,WEB,MSP Website Platform,Website design,Responsive design,Feature Inventory,Inventory §3 p.4,Tested,Done,Done,Done,Pending,,"Published pages render from a mobile-first responsive template: fluid single column with a max width, clamp()-based fluid type, and grids that collapse to one column below 40rem and expand at 64rem. Responsive by construction rather than by breakpoint patching; the public render is tested."
WEB-003,WEB,MSP Website Platform,Website design,Mobile-first design,Feature Inventory,Inventory §3 p.4,Tested,Done,Done,Done,Pending,,"Published pages render from a mobile-first responsive template: fluid single column with a max width, clamp()-based fluid type, and grids that collapse to one column below 40rem and expand at 64rem. Responsive by construction rather than by breakpoint patching; the public render is tested."
WEB-004,WEB,MSP Website Platform,Website design,Tablet optimization,Feature Inventory,Inventory §3 p.4,Tested,Done,Done,Done,Pending,,"Published pages render from a mobile-first responsive template: fluid single column with a max width, clamp()-based fluid type, and grids that collapse to one column below 40rem and expand at 64rem. Responsive by construction rather than by breakpoint patching; the public render is tested."
WEB-005,WEB,MSP Website Platform,Website design,Desktop optimization,Feature Inventory,Inventory §3 p.4,Tested,Done,Done,Done,Pending,,"Published pages render from a mobile-first responsive template: fluid single column with a max width, clamp()-based fluid type, and grids that collapse to one column below 40rem and expand at 64rem. Responsive by construction rather than by breakpoint patching; the public render is tested."
WEB-006,WEB,MSP Website Platform,Website design,Cross-browser compatibility,Feature Inventory,Inventory §3 p.4,Partially Implemented,Done,Done,Partial,Pending,,"The public template uses only broadly supported CSS (flex/grid, clamp, prefers-color-scheme) and no JavaScript, so cross-browser risk is low by construction - but honest compatibility claims need a real browser matrix (BrowserStack-class) run against the rendered pages. Not marked Tested without one."
WEB-007,WEB,MSP Website Platform,Website design,Modern visual design,Feature Inventory,Inventory §3 p.5,Tested,Yes,Yes,Yes,Yes,,"Template gallery shipped (Phase 23): SiteBuilderService::templates() carries four buyer-journey blueprints (MSP home, service, vertical, lead-magnet landing), each an ordered hero->value->proof->FAQ->CTA structure with structural guidance copy (no fake proof); applying one drafts the page+sections for editing, and the existing health checks still gate publishing on real CTA/proof content. Gallery UI on the Pages screen. Tested in WebsitePlatformCloseoutTest."
WEB-008,WEB,MSP Website Platform,Website design,MSP-specific UX,Feature Inventory,Inventory §3 p.5,Tested,Yes,Yes,Yes,Yes,,"Template gallery shipped (Phase 23): SiteBuilderService::templates() carries four buyer-journey blueprints (MSP home, service, vertical, lead-magnet landing), each an ordered hero->value->proof->FAQ->CTA structure with structural guidance copy (no fake proof); applying one drafts the page+sections for editing, and the existing health checks still gate publishing on real CTA/proof content. Gallery UI on the Pages screen. Tested in WebsitePlatformCloseoutTest."
WEB-009,WEB,MSP Website Platform,Website design,Buyer-journey-oriented UX,Feature Inventory,Inventory §3 p.5,Tested,Yes,Yes,Yes,Yes,,"Template gallery shipped (Phase 23): SiteBuilderService::templates() carries four buyer-journey blueprints (MSP home, service, vertical, lead-magnet landing), each an ordered hero->value->proof->FAQ->CTA structure with structural guidance copy (no fake proof); applying one drafts the page+sections for editing, and the existing health checks still gate publishing on real CTA/proof content. Gallery UI on the Pages screen. Tested in WebsitePlatformCloseoutTest."
WEB-010,WEB,MSP Website Platform,Website design,Conversion-oriented layouts,Feature Inventory,Inventory §3 p.5,Tested,Yes,Yes,Yes,Yes,,"Template gallery shipped (Phase 23): SiteBuilderService::templates() carries four buyer-journey blueprints (MSP home, service, vertical, lead-magnet landing), each an ordered hero->value->proof->FAQ->CTA structure with structural guidance copy (no fake proof); applying one drafts the page+sections for editing, and the existing health checks still gate publishing on real CTA/proof content. Gallery UI on the Pages screen. Tested in WebsitePlatformCloseoutTest."
WEB-011,WEB,MSP Website Platform,Website design,Strategic navigation,Feature Inventory,Inventory §3 p.5,Tested,Done,Done,Done,Pending,,"The site itself: pages built from ordered section blocks, header/footer navigation (nestable), and conversion paths wired from CTA/offer sections to a form or booking page. Publishing is refused without a title and at least one visible section, so an empty URL cannot go live. Tested."
WEB-012,WEB,MSP Website Platform,Website design,Service-page architecture,Feature Inventory,Inventory §3 p.5,Tested,Done,Done,Done,Pending,,"Typed page architecture: one site_pages model serves service, vertical, location, landing and campaign pages, each bound to its service line / vertical / location for targeting and reporting. Slug is globally unique (published pages share one public URL space) with collisions auto-suffixed. Tested."
WEB-013,WEB,MSP Website Platform,Website design,Industry or vertical page architecture,Feature Inventory,Inventory §3 p.5,Tested,Done,Done,Done,Pending,,"Typed page architecture: one site_pages model serves service, vertical, location, landing and campaign pages, each bound to its service line / vertical / location for targeting and reporting. Slug is globally unique (published pages share one public URL space) with collisions auto-suffixed. Tested."
WEB-014,WEB,MSP Website Platform,Website design,Location-page architecture,Feature Inventory,Inventory §3 p.5,Tested,Done,Done,Done,Pending,,"Typed page architecture: one site_pages model serves service, vertical, location, landing and campaign pages, each bound to its service line / vertical / location for targeting and reporting. Slug is globally unique (published pages share one public URL space) with collisions auto-suffixed. Tested."
