id,method,uri,name,module,access,permission,verified_by
RT-234,POST,projects/deliverables/{deliverable}/reject,projects.deliverables.reject,Projects,public,,
RT-235,POST,projects/deliverables/{deliverable}/submit,projects.deliverables.submit,Projects,public,,
RT-236,PATCH,projects/tasks/{task},projects.tasks.update,Projects,public,,
RT-237,PATCH,projects/{project},projects.update,Projects,public,,
RT-238,POST,projects/{project}/deliverables,projects.deliverables.store,Projects,public,,
RT-239,POST,projects/{project}/members,projects.members.store,Projects,public,,
RT-240,POST,projects/{project}/sprints,projects.sprints.store,Projects,public,,
RT-241,POST,projects/{project}/tasks,projects.tasks.store,Projects,public,,
RT-242,GET,register,register,Auth,public,,journey-test
RT-243,POST,register,,Auth,public,,
RT-244,POST,reset-password,password.store,Auth,public,,
RT-245,GET,reset-password/{token},password.reset,Auth,public,,
RT-246,GET,s/{slug},public.page.show,Public Site,public,,
RT-247,GET,sales,sales.dashboard,Sales,public,,
RT-248,GET,sales/accounts,sales.accounts.index,Sales,public,,
RT-249,POST,sales/accounts,sales.accounts.store,Sales,public,,
RT-250,PATCH,sales/accounts/{account},sales.accounts.update,Sales,public,,
RT-251,DELETE,sales/accounts/{account},sales.accounts.destroy,Sales,public,,
RT-252,POST,sales/accounts/{account}/rescore,sales.accounts.rescore,Sales,public,,
RT-253,GET,sales/alerts,sales.alerts.index,Sales,public,,
RT-254,POST,sales/alerts,sales.alerts.store,Sales,public,,
RT-255,POST,sales/alerts/{alert}/read,sales.alerts.read,Sales,public,,
RT-256,DELETE,sales/alerts/{rule},sales.alerts.destroy,Sales,public,,
RT-257,GET,sales/booking,sales.booking.index,Sales,public,,
RT-258,POST,sales/booking,sales.booking.store,Sales,public,,
RT-259,POST,sales/booking/appointments/{booking}/status,sales.booking.status,Sales,public,,
RT-260,DELETE,sales/booking/{bookingPage},sales.booking.destroy,Sales,public,,
RT-261,POST,sales/booking/{bookingPage}/publish,sales.booking.publish,Sales,public,,
RT-262,GET,sales/enablement,sales.enablement.index,Sales,public,,
RT-263,POST,sales/enablement/assets,sales.enablement.assets.store,Sales,public,,
RT-264,DELETE,sales/enablement/assets/{asset},sales.enablement.assets.destroy,Sales,public,,
RT-265,POST,sales/enablement/plays,sales.enablement.plays.store,Sales,public,,
RT-266,DELETE,sales/enablement/plays/{play},sales.enablement.plays.destroy,Sales,public,,
RT-267,GET,sales/intent,sales.intent.index,Sales,public,,
RT-268,POST,sales/intent,sales.intent.store,Sales,public,,
RT-269,GET,sales/scoring,sales.scoring.index,Sales,public,,
RT-270,POST,sales/scoring,sales.scoring.store,Sales,public,,
RT-271,POST,sales/scoring/recompute,sales.scoring.recompute,Sales,public,,journey-test
RT-272,PATCH,sales/scoring/{rule},sales.scoring.update,Sales,public,,
RT-273,DELETE,sales/scoring/{rule},sales.scoring.destroy,Sales,public,,
RT-274,GET,sanctum/csrf-cookie,sanctum.csrf-cookie,Framework,public,,
RT-275,GET,search,search,Global Search,public,,
RT-276,GET,seo,seo.dashboard,SEO,public,,
RT-277,GET,seo/ai-visibility,seo.ai.index,SEO,public,,
RT-278,POST,seo/ai-visibility,seo.ai.check,SEO,public,,
RT-279,GET,seo/audits,seo.audits.index,SEO,public,,
RT-280,POST,seo/audits,seo.audits.store,SEO,public,,
RT-281,GET,seo/audits/{audit},seo.audits.show,SEO,public,,
RT-282,GET,seo/keywords,seo.keywords.index,SEO,public,,
RT-283,POST,seo/keywords,seo.keywords.store,SEO,public,,
RT-284,POST,seo/keywords/recluster,seo.keywords.recluster,SEO,public,,
RT-285,PATCH,seo/keywords/{keyword},seo.keywords.update,SEO,public,,
RT-286,DELETE,seo/keywords/{keyword},seo.keywords.destroy,SEO,public,,
RT-287,POST,seo/keywords/{keyword}/rank,seo.keywords.rank,SEO,public,,
RT-288,GET,seo/local,seo.local.index,SEO,public,,
RT-289,POST,seo/local,seo.local.store,SEO,public,,
RT-290,DELETE,seo/local/{location},seo.local.destroy,SEO,public,,
RT-291,POST,seo/local/{location}/citations,seo.local.citations.store,SEO,public,,
RT-292,DELETE,seo/local/{location}/citations/{citation},seo.local.citations.destroy,SEO,public,,
RT-293,POST,seo/local/{location}/citations/{citation}/check,seo.local.citations.check,SEO,public,,
RT-294,GET,seo/schema,seo.schema.index,SEO,public,,
RT-295,POST,seo/schema,seo.schema.store,SEO,public,,
RT-296,DELETE,seo/schema/{schema},seo.schema.destroy,SEO,public,,
RT-297,GET|POST|PUT|PATCH|DELETE|OPTIONS,settings,,Settings,public,,
RT-298,GET,settings/api-tokens,api-tokens.index,Settings,public,,
RT-299,POST,settings/api-tokens,api-tokens.store,Settings,public,,
RT-300,DELETE,settings/api-tokens/{tokenId},api-tokens.destroy,Settings,public,,
RT-301,GET,settings/appearance,appearance,Settings,public,,
RT-302,GET,settings/audit-log,audit.index,Settings,public,,
RT-303,GET,settings/files,files.index,Settings,public,,
RT-304,POST,settings/files,files.store,Settings,public,,
RT-305,DELETE,settings/files/{file},files.destroy,Settings,public,,
RT-306,GET,settings/files/{file}/download,files.download,Settings,public,,menu-smoke-test
RT-307,GET,settings/integrations,integrations.index,Settings,public,,
RT-308,POST,settings/integrations/connect,integrations.connect,Settings,public,,
RT-309,POST,settings/integrations/{integration}/disconnect,integrations.disconnect,Settings,public,,
RT-310,POST,settings/integrations/{integration}/queue-sync,integrations.queue-sync,Settings,public,,
RT-311,POST,settings/integrations/{integration}/reconnect,integrations.reconnect,Settings,public,,
RT-312,POST,settings/integrations/{integration}/sync,integrations.sync,Settings,public,,
RT-313,GET,settings/members,members.index,Settings,public,,
RT-314,POST,settings/members/invitations,invitations.store,Settings,public,,journey-test
RT-315,DELETE,settings/members/invitations/{invitation},invitations.destroy,Settings,public,,
RT-316,POST,settings/members/invitations/{invitation}/resend,invitations.resend,Settings,public,,
RT-317,DELETE,settings/members/{member},members.destroy,Settings,public,,
RT-318,PATCH,settings/members/{member}/deactivate,members.deactivate,Settings,public,,
RT-319,PATCH,settings/members/{member}/reactivate,members.reactivate,Settings,public,,
RT-320,PATCH,settings/members/{member}/role,members.role,Settings,public,,
RT-321,GET,settings/notifications,notifications.index,Settings,public,,
RT-322,PATCH,settings/notifications/preferences,notifications.preferences,Settings,public,,
RT-323,GET,settings/organization,organization.edit,Settings,public,,
RT-324,PATCH,settings/organization,organization.update,Settings,public,,
RT-325,DELETE,settings/organization,organization.destroy,Settings,public,,
RT-326,GET,settings/password,password.edit,Settings,public,,
RT-327,PUT,settings/password,password.update,Settings,public,,
RT-328,GET,settings/profile,profile.edit,Settings,public,,
RT-329,PATCH,settings/profile,profile.update,Settings,public,,
RT-330,DELETE,settings/profile,profile.destroy,Settings,public,,
RT-331,DELETE,settings/sessions,sessions.destroy-others,Settings,public,,
RT-332,GET,settings/teams,teams.index,Settings,public,,
RT-333,POST,settings/teams,teams.store,Settings,public,,
RT-334,PATCH,settings/teams/{team},teams.update,Settings,public,,
RT-335,DELETE,settings/teams/{team},teams.destroy,Settings,public,,
RT-336,POST,settings/teams/{team}/members,teams.members.add,Settings,public,,
RT-337,DELETE,settings/teams/{team}/members/{member},teams.members.remove,Settings,public,,
RT-338,GET,settings/two-factor,two-factor.show,Settings,public,,
RT-339,POST,settings/two-factor,two-factor.enable,Settings,public,,
RT-340,DELETE,settings/two-factor,two-factor.disable,Settings,public,,
RT-341,POST,settings/two-factor/confirm,two-factor.confirm,Settings,public,,
RT-342,POST,settings/two-factor/recovery-codes,two-factor.recovery-codes,Settings,public,,
RT-343,GET,storage/{path},storage.local,Framework,public,,
RT-344,PUT,storage/{path},storage.local.upload,Framework,public,,
RT-345,GET,strategy,strategy.index,Strategy,public,,
RT-346,GET,strategy/brand,strategy.brand,Strategy,public,,
RT-347,POST,strategy/brand,strategy.brand.save,Strategy,public,,
RT-348,POST,strategy/brand/assets,strategy.brand.assets.store,Strategy,public,,
RT-349,DELETE,strategy/brand/assets/{asset},strategy.brand.assets.destroy,Strategy,public,,
RT-350,POST,strategy/engagements,strategy.engagements.store,Strategy,public,,
RT-351,PATCH,strategy/engagements/{engagement},strategy.engagements.update,Strategy,public,,
RT-352,POST,strategy/items,strategy.items.store,Strategy,public,,
RT-353,PATCH,strategy/items/{item},strategy.items.update,Strategy,public,,
RT-354,DELETE,strategy/items/{item},strategy.items.destroy,Strategy,public,,
RT-355,GET,strategy/performance,strategy.performance,Strategy,public,,
RT-356,POST,strategy/performance,strategy.performance.store,Strategy,public,,
RT-357,DELETE,strategy/performance/{agreement},strategy.performance.destroy,Strategy,public,,
RT-358,POST,strategy/performance/{agreement}/replace-lead,strategy.performance.replace-lead,Strategy,public,,
RT-359,POST,strategy/plans,strategy.plans.store,Strategy,public,,
RT-360,POST,strategy/targets,strategy.targets.store,Strategy,public,,
RT-361,DELETE,strategy/targets/{target},strategy.targets.destroy,Strategy,public,,
RT-362,GET,support,support.index,Support,public,,
RT-363,POST,support/articles,support.articles.store,Support,public,,
RT-364,POST,support/tickets,support.tickets.store,Support,public,,
RT-365,POST,support/tickets/{ticket}/assign,support.tickets.assign,Support,public,,
RT-366,POST,support/tickets/{ticket}/reply,support.tickets.reply,Support,public,,
RT-367,POST,support/tickets/{ticket}/resolve,support.tickets.resolve,Support,public,,
RT-368,GET,two-factor-challenge,two-factor.challenge,Auth,public,,
RT-369,POST,two-factor-challenge,,Auth,public,,
RT-370,GET,up,,Ops,public,,
RT-371,GET,verify-email,verification.notice,Auth,public,,
RT-372,GET,verify-email/{id}/{hash},verification.verify,Auth,public,,
RT-373,GET,wc/{publicKey}/config,public.chat.config,Chat Widget API,public,,
RT-374,POST,wc/{publicKey}/conversations,public.chat.start,Chat Widget API,public,,
RT-375,POST,wc/{publicKey}/conversations/{token}/messages,public.chat.message,Chat Widget API,public,,
RT-376,GET,wc/{publicKey}/conversations/{token}/poll,public.chat.poll,Chat Widget API,public,,
RT-377,POST,wc/{publicKey}/events,public.chat.event,Chat Widget API,public,,
RT-378,POST,webhooks/{provider},billing.webhook,Webhooks,public,,feature-tests
RT-379,GET,website,web.pages.index,Website Builder,public,,
RT-380,POST,website/locations,web.locations.store,Website Builder,public,,
RT-381,POST,website/navigation,web.navigation.store,Website Builder,public,,
RT-382,DELETE,website/navigation/{item},web.navigation.destroy,Website Builder,public,,
RT-383,POST,website/pages,web.pages.store,Website Builder,public,,
RT-384,PATCH,website/pages/{page},web.pages.update,Website Builder,public,,
RT-385,DELETE,website/pages/{page},web.pages.destroy,Website Builder,public,,
RT-386,POST,website/pages/{page}/publish,web.pages.publish,Website Builder,public,,
